title,category,organization,d_day,deadline,status,url,source,collected_at
2026년 전주MBC K-하이테크 플랫폼 제2회 가상현실 공간 창작 공모전,"분야 : 기획/아이디어, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어, 기타",전주MBC K-하이테크 플랫폼,30,2026-07-14,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=106656,위비티,2026-06-14
통영시 시정발전 아이디어 공모전 [통영.zip],분야 : 기획/아이디어,통영시,31,2026-07-15,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108210,위비티,2026-06-14
2026년 서울특별시농수산식품공사 혁신아이디어 공모전,분야 : 기획/아이디어,서울특별시농수산식품공사,31,2026-07-15,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108243,위비티,2026-06-14
[김대중노벨평화상기념관] 2026 전국 대학생 스피치 대회 공모전,"분야 : 기획/아이디어, 광고/마케팅, 논문/리포트, 문학/글/시나리오, 대외활동/서포터즈",김대중노벨평화상기념관,31,2026-07-15,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=108147,위비티,2026-06-14
2026 유성구의회 청소년의회 의원 모집,분야 : 기타,대전광역시 유성구의회,32,2026-07-16,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108238,위비티,2026-06-14
전국 중학생 뉴스저작권 토론대회,분야 : 기타,한국언론진흥재단,33,2026-07-17,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108268,위비티,2026-06-14
넥슨 영 프로그래머스 컵 (NEXON Young Programmers Cup),"분야 : 웹/모바일/IT, 게임/소프트웨어, 과학/공학",넥슨,35,2026-07-19,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107947,위비티,2026-06-14
서울시광역심리지원센터 캐릭터 공모전,분야 : 디자인/캐릭터/웹툰,서울시광역심리지원센터,35,2026-07-19,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108245,위비티,2026-06-14
GXG 2026 게임음악 경연대회 The 3rd GXG SOUND TRACK,분야 : 예체능/미술/음악,성남시,35,2026-07-19,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108231,위비티,2026-06-14
2026년 경상북도 청년 정신건강·자살예방 정책 공모전,분야 : 기획/아이디어,경상북도/경상북도정신건강복지센터,40,2026-07-24,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108251,위비티,2026-06-14
2026 성남유스필름어워즈,분야 : 영상/UCC/사진,성남시,43,2026-07-27,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108248,위비티,2026-06-14
2026 한국수력원자력 기업이미지 공모전,"분야 : 광고/마케팅, 디자인/캐릭터/웹툰, 웹/모바일/IT, 과학/공학, 예체능/미술/음악, 기타",한국수력원자력,46,2026-07-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107426,위비티,2026-06-14
2026 한국수력원자력 유튜브 짧은영상 공모전,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 과학/공학, 예체능/미술/음악, 기타",한국수력원자력,46,2026-07-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107425,위비티,2026-06-14
